names,scores,logfoldchanges,pvals,pvals_adj
MRPL12,15.6898365,1.4347924,1.775118984063723e-55,2.1813322585564447e-53
PSMD8,15.670697,1.1320153,2.3993418818488287e-55,2.9347505795576876e-53
IFNG,15.659347,1.5767773,2.8682976476546796e-55,3.4921854309233476e-53
MYO1G,15.612064,1.6094921,6.025501116802653e-55,7.302465114950738e-53
SFPQ,15.608162,1.1070964,6.4056402943660656e-55,7.727717651924724e-53
ACTG1,15.607133,0.7690139,6.5097715466400365e-55,7.817643830101352e-53
TNFRSF25,15.585498,1.2253934,9.134882567147507e-55,1.0920524770318422e-52
UBE2S,15.584785,1.8526722,9.237350198735463e-55,1.09932789302068e-52
NCL,15.573874,1.0724381,1.0956482888856239e-54,1.2980729951730126e-52
MANF,15.564102,1.1997353,1.2764934515052997e-54,1.5055784369986616e-52
SLC43A3,15.560106,2.336648,1.3587234912737708e-54,1.5954433173090234e-52
LSM2,15.53754,1.1904984,1.9325835484522446e-54,2.259241475668509e-52
TMEM147,15.515866,1.1932285,2.7095460518499465e-54,3.153577387219189e-52
AURKAIP1,15.509959,1.0671471,2.9706701862475413e-54,3.4423292245903525e-52
SRSF7,15.499819,1.0017558,3.4787122273863845e-54,4.013431312120012e-52
SLC7A5,15.498447,1.8800511,3.5537365751974787e-54,4.082161752900756e-52
HMGN1,15.491138,0.89492154,3.981755926312568e-54,4.5540256092284866e-52
CCL20,15.482651,2.7653816,4.5435775151001303e-54,5.174194739178683e-52
PSMD11,15.461582,1.4040143,6.303074167546805e-54,7.147090965947923e-52
SLAMF1,15.45029,1.9033566,7.510528692568429e-54,8.479836241780251e-52
PDCD5,15.431736,1.1919047,1.0013964754800194e-53,1.1210548678890725e-51
MRPL52,15.431877,1.1742923,9.992133590452398e-54,1.1210548678890725e-51
TNIP2,15.426942,1.1757069,1.078613221291736e-53,1.2024034306551759e-51
NDUFAB1,15.411341,1.1637628,1.373334311811839e-53,1.5245164923558315e-51
VDAC1,15.404914,1.0912254,1.5169186803030923e-53,1.6768615704438367e-51
TUBA1C,15.382647,1.5719535,2.1401756938053596e-53,2.3559767429307335e-51
SNU13,15.378743,0.92726916,2.273167737223547e-53,2.491995502798594e-51
RPS4Y1,-15.358745,-0.61356175,3.0951194003598876e-53,3.379051841219348e-51
ATP6V0E1,15.318677,0.9474476,5.737347709235733e-53,6.237889978518851e-51
JUNB,15.313394,0.9405172,6.223000355482482e-53,6.738183171797015e-51
NHP2,15.290075,1.1141415,8.904735574547676e-53,9.60257607671631e-51
PSMC3,15.266742,1.2404081,1.273804411397017e-52,1.3680452255735442e-50
RPL13AP5,-15.258271,-0.34321204,1.4503991594881834e-52,1.551398615128656e-50
RPL34P18,-15.250707,-0.6511102,1.62861796304431e-52,1.7350034912754303e-50
ATP5B,15.245176,1.0410342,1.772540525447587e-52,1.8807438025030223e-50
H2AFZ,15.229779,0.9528012,2.2434928749853914e-52,2.3709232702845616e-50
VASP,15.222317,1.2534044,2.51464204101382e-52,2.64688616428626e-50
ATP5G3,15.214931,0.9781467,2.8151896289409874e-52,2.9514805554214637e-50
CACYBP,15.206262,1.1776985,3.2137937751446882e-52,3.3560644877202635e-50
SET,15.204184,0.9181886,3.3174137696211117e-52,3.450632747771251e-50
MRPL20,15.19832,1.110978,3.62806887275623e-52,3.7589639065968465e-50
CD28,15.176533,1.403235,5.058198111021227e-52,5.220218519264876e-50
EIF5A,15.1391535,1.1356981,8.935685241594123e-52,9.186023505171859e-50
SNF8,15.132701,1.2334135,9.856621900039067e-52,1.0093486457326827e-49
ZNF593,15.127754,1.3909919,1.0626076114943625e-51,1.083941818366064e-49
C20orf24,15.126055,1.3163908,1.0903875340248807e-51,1.1080014864975903e-49
TMEM173,15.1114,1.5621731,1.3621611287409052e-51,1.3788619548404105e-49
RPS15,-15.110359,-0.20655474,1.383841600037105e-51,1.3954616440068824e-49
YWHAE,15.085671,1.1501677,2.012162849399621e-51,2.0213438205755887e-49
ZNRF1,15.08366,2.3156047,2.074442731686811e-51,2.0760142792108163e-49
CDV3,15.072608,1.2648225,2.4523725960920197e-51,2.4449692071226853e-49
RPL10P9,-15.057797,-0.3759427,3.068419760854092e-51,3.0476560181114703e-49
TNIP1,15.047754,1.1788285,3.5715310236896276e-51,3.534076765763295e-49
IL7R,-15.045038,-1.8228796,3.7211845928219805e-51,3.668421527699877e-49
AP001324.1,-15.037617,-0.2696488,4.162676248009146e-51,4.088398010126455e-49
RPS12,-15.035326,-0.24133396,4.3092101149739805e-51,4.216641897689354e-49
HAPLN3,15.0323515,1.1510602,4.507192353465049e-51,4.3940967519758885e-49
UBL5,15.0142,0.7789984,5.927244397129654e-51,5.757271947506083e-49
HUWE1,15.001275,1.5508709,7.202273833395619e-51,6.970112625579204e-49
SH2D2A,14.982158,1.3023459,9.604709786205307e-51,9.261183669764387e-49
