names,scores,logfoldchanges,pvals,pvals_adj
TOMM22,18.153187,1.6376438,1.2116228304981917e-73,2.874024427706733e-71
CDC37,18.151203,1.6084601,1.2561729336757564e-73,2.957295543332452e-71
P4HB,18.14193,1.62131,1.4871820508097562e-73,3.4750117308137523e-71
CYTIP,18.115889,1.5903597,2.387846172172042e-73,5.538211221991023e-71
NCL,18.114271,1.6973866,2.4591096522347456e-73,5.66155752361192e-71
LRRFIP1,18.11191,1.6312172,2.566869522923858e-73,5.866514717683863e-71
POLR2J,18.082777,1.5810608,4.355800157854904e-73,9.88293179294166e-71
MRPL52,18.066193,1.6457292,5.883716155847941e-73,1.3253599752212583e-70
ANXA7,18.043253,1.6758915,8.913960702324676e-73,1.993607311074914e-70
NOL7,18.041103,1.6196742,9.267443094361835e-73,2.057963905869244e-70
TRAPPC1,18.040369,1.5759268,9.391317391752379e-73,2.0707854848813994e-70
CACYBP,18.034561,1.6387198,1.0432135252107703e-72,2.284199908242967e-70
SRSF3,18.021505,1.6807493,1.3209831660658092e-72,2.872312771714344e-70
SPPL2A,18.018494,1.8348725,1.3949100579663324e-72,3.012139918964403e-70
SNRPE,18.015852,1.6355556,1.4631167409586578e-72,3.137784128503872e-70
C19orf24,18.01103,1.7458843,1.5963081390504728e-72,3.400136336177507e-70
NFKBIA,18.003225,1.8319187,1.8379901961761732e-72,3.8884669616535244e-70
PSME2P6,17.996288,1.9665607,2.0832389668948177e-72,4.375625920679262e-70
UBE2I,17.995943,1.5475523,2.0962086426555818e-72,4.375625920679262e-70
SARS,17.9895,1.5731592,2.3547655107301307e-72,4.882785622945107e-70
IL27RA,17.98863,1.7913777,2.3919345978292776e-72,4.927227907410034e-70
RPS2P7,17.981182,1.7387693,2.7359513472555537e-72,5.599043963001219e-70
STOML2,17.967836,1.6313869,3.480260157592269e-72,7.076001674959191e-70
PRDX2,17.952047,1.5822254,4.625300348678578e-72,9.343405110804835e-70
TNFAIP8,17.938717,1.8336984,5.879768686043493e-72,1.180137418773768e-69
ATOX1,17.935389,1.6561025,6.242495628852128e-72,1.244960386210121e-69
PSMB3,17.909958,1.5380223,9.861164555548055e-72,1.9541957177137035e-69
PSMB6,17.90652,1.5346789,1.0489026954860414e-71,2.0655466854316631e-69
CISD3,17.896162,1.9446012,1.2633328537598e-71,2.4722634365045684e-69
LTA,17.890877,2.4286997,1.389046654283183e-71,2.7013937759168163e-69
COX5A,17.889889,1.5371977,1.4138805971393493e-71,2.732716998582109e-69
SFPQ,17.879492,1.537915,1.7038485800896112e-71,3.264395211379645e-69
PPA1,17.879295,1.6592268,1.7098170440620285e-71,3.264395211379645e-69
LINC00513,17.878004,2.0759532,1.749879769526564e-71,3.320635482645227e-69
SRSF9,17.847988,1.5833746,2.9964094681172766e-71,5.651841979290364e-69
PSMD14,17.84249,1.8584492,3.306375468683516e-71,6.199157023949077e-69
NFKB2,17.817137,1.7376306,5.203323304806765e-71,9.697693809333609e-69
RGS1,17.794905,1.9395436,7.739854838673305e-71,1.4339798512053247e-68
MDH2,17.766699,1.6466242,1.2800477859902839e-70,2.35762213100834e-68
RBM8A,17.764706,1.6504081,1.3263477887849191e-70,2.428612609043544e-68
CCL4,17.763742,2.7895505,1.349288084158552e-70,2.4562534420400247e-68
PPP1R11,17.756708,1.7224089,1.5294791031757908e-70,2.7681803583547505e-68
ABCF1,17.755224,1.7098988,1.5703964748039885e-70,2.825901380608488e-68
EIF4G2,17.753841,1.5861405,1.609577881170175e-70,2.879856744989677e-68
SDF4,17.751482,1.5105175,1.6786234874428888e-70,2.9863284099616072e-68
TWF2,17.735102,1.8957018,2.2469161009022566e-70,3.974756499172348e-68
NOP10,17.719997,1.5904576,2.939218230000371e-70,5.170216966266383e-68
SRSF2,17.717377,1.5786262,3.079366623087236e-70,5.386483147233769e-68
RPS26,17.693956,1.7074672,4.6680245090913304e-70,8.120028633564369e-68
PHPT1,17.690199,1.7545906,4.9898897649094906e-70,8.631957924258622e-68
CSNK2B,17.674,1.5151004,6.650976725612531e-70,1.1442238036024942e-67
PPP1CC,17.670761,1.5869479,7.044079262025014e-70,1.2052304140615586e-67
PTMAP5,17.66276,1.6901171,8.117105684421767e-70,1.3812755222007063e-67
ZBTB32,17.652878,3.05257,9.670089800114397e-70,1.6366496309804424e-67
SDF2L1,17.647552,1.6552155,1.0626227977855215e-69,1.78880550653024e-67
GTF3C6,17.63882,1.649457,1.2402197054363603e-69,2.076605304648015e-67
DUSP4,17.637424,2.2734778,1.271242020932541e-69,2.117226538160574e-67
CBX3,17.635906,1.581225,1.305844024092209e-69,2.1633482665794263e-67
TCEA1,17.634216,1.655387,1.3454704177771112e-69,2.2172644342641647e-67
NDUFS6,17.628672,1.5129492,1.484124969456915e-69,2.432954812495574e-67
POLR2K,17.61774,1.5409708,1.800529262859384e-69,2.9362693619474047e-67
RAD23A,17.606068,1.571735,2.2129475244739892e-69,3.590134711855185e-67
PSMB7,17.598333,1.5342025,2.536778722845097e-69,4.094282401598084e-67
LSM2,17.570515,1.6340829,4.144026917086173e-69,6.654032143635137e-67
BIRC3,17.548965,1.5970387,6.057248774134439e-69,9.676454916679766e-67
HNRNPDL,17.541643,1.5875093,6.890571364080576e-69,1.0951811166534361e-66
ATP5B,17.537916,1.5332165,7.357682771810156e-69,1.1576703782318986e-66
MRPL12,17.537983,2.0054207,7.349003117241511e-69,1.1576703782318986e-66
SNRPG,17.537569,1.6384608,7.402599683468568e-69,1.1589139934454216e-66
IRF4,17.524517,2.6011522,9.312865901534172e-69,1.4507221106613755e-66
VDAC1,17.505753,1.6552254,1.2950590137318834e-68,2.0074055831167823e-66
SSNA1,17.50316,1.604531,1.3553523979790295e-68,2.0905142331586893e-66
RELB,17.498354,1.6511139,1.4747139886043686e-68,2.2634691028034995e-66
BUD31,17.491127,1.4689047,1.6741417525689352e-68,2.55702694705785e-66
NDUFB7,17.49069,1.4944358,1.6870013378339584e-68,2.5641601402387896e-66
EID1,17.483702,1.5188199,1.9070902367246455e-68,2.8846812754630614e-66
DDIT4,17.470945,1.606281,2.3850627542497664e-68,3.5903221104958863e-66
IMP4,17.465374,1.760319,2.6297325749607645e-68,3.939691705961555e-66
HNRNPR,17.460999,1.6905068,2.839245254492955e-68,4.233314674448996e-66
PSMD11,17.443007,1.7898324,3.8905751217443365e-68,5.773355338243456e-66
CYC1,17.441746,1.6284683,3.977310187492385e-68,5.874224494366701e-66
ATP5EP2,17.438063,1.6258097,4.242087094565194e-68,6.235868029010836e-66
PSMA2,17.43599,1.806482,4.398781511379591e-68,6.435992892654503e-66
AC246787.1,17.428028,1.6297747,5.056030776443615e-68,7.363226960057024e-66
ARPP19,17.424278,1.726988,5.398478321068151e-68,7.825544199581707e-66
SUMO1,17.421371,1.5099391,5.679964833882902e-68,8.195639581276846e-66
PSMA4,17.41587,1.4721351,6.253122480366523e-68,8.981262292786982e-66
PSMB5,17.411121,1.6638914,6.793999764720943e-68,9.713558293752394e-66
BTG2,17.404047,1.7691083,7.687347430604345e-68,1.0940842518166029e-65
SIAH2,17.394556,1.9806122,9.072846267697594e-68,1.2854293641985491e-65
HNRNPAB,17.393778,1.9124074,9.19683544829027e-68,1.2971266428892642e-65
